ref_id,title,authors,year,venue,citation_count,doi,url,source,topic,apa_reference,abstract_excerpt
REF032,Relationship of soil fertility to biochemical properties under agricultural practices aimed at controlling land degradation,A. Santiago; R. Recena; Francisco Perea-Torres; M. Moreno; E. Carmona; A. Delgado,2019,,19,10.1002/ldr.3298,https://www.semanticscholar.org/paper/600578cec924a771fe9ed1159e5ead8ff78f6f86,sentence_retry,,A. Santiago; R. Recena; Francisco Perea-Torres; M. Moreno; E. Carmona; A. Delgado (2019). Relationship of soil fertility to biochemical properties under agricultural practices aimed at controlling land degradation. https://doi.org/10.1002/ldr.3298,"Conservation agriculture (CA) is an essential strategy to avoid agricultural land degradation. It affects nutrient availability to plants and soil biological activity. However, an integral view of the effects of CA on soil fertility and biological indicators has been rarely described. Here, we examined the long‐term effects of no‐till and residue mulching on chemical properties, biological functionality indicators (enzyme activity), and nutrient availability indices of soil, and also their poten"
REF033,Factors Controlling Soil Microbial Biomass and Bacterial Diversity and Community Composition in a Cold Desert Ecosystem: Role of Geographic Scale,David J. Van Horn; M. Lee Van Horn; J. Barrett; M. Gooseff; Adam E. Altrichter; K. Geyer; L. Zeglin; C. Takacs-Vesbach,2013,PLoS ONE,116,10.1371/journal.pone.0066103,https://www.semanticscholar.org/paper/d3693e1865e9e9b8ff601735aca9c34438b4b5ed,topic_search,soil pH,David J. Van Horn; M. Lee Van Horn; J. Barrett; M. Gooseff; Adam E. Altrichter; K. Geyer; L. Zeglin; C. Takacs-Vesbach (2013). Factors Controlling Soil Microbial Biomass and Bacterial Diversity and Community Composition in a Cold Desert Ecosystem: Role of Geographic Scale. PLoS ONE. https://doi.org/10.1371/journal.pone.0066103,"Understanding controls over the distribution of soil bacteria is a fundamental step toward describing soil ecosystems, understanding their functional capabilities, and predicting their responses to environmental change. This study investigated the controls on the biomass, species richness, and community structure and composition of soil bacterial communities in the McMurdo Dry Valleys, Antarctica, at local and regional scales. The goals of the study were to describe the relationships between abi"
REF034,Land-use impacts on plant functional diversity throughout Europe,Francesca Rosa; P. V. van Bodegom; Stefanie Hellweg; Stephan Pfister; I. Biurrun; S. Boch; Milan Chytrý; R. Ćušterevska,2024,,14,10.1101/2024.02.21.580945,https://www.semanticscholar.org/paper/c95f82bf678fa95b2c2c57753fd8747320a7373e,sentence_retry,,Francesca Rosa; P. V. van Bodegom; Stefanie Hellweg; Stephan Pfister; I. Biurrun; S. Boch; Milan Chytrý; R. Ćušterevska (2024). Land-use impacts on plant functional diversity throughout Europe. https://doi.org/10.1101/2024.02.21.580945,"Aim Global biodiversity loss resulting from anthropogenic land-use activities is a pressing concern, requiring precise assessments of impacts at large spatial extents. Existing models mainly focus on species richness and abundance, lacking insights into ecological mechanisms and species’ roles in ecosystem functioning. To bridge this gap, we conducted an extensive analysis of the impact of human land use on vascular plant functional diversity, across diverse land-use classes and bioregions in Eu"
REF035,Species pool size and rainfall account for the relationship between biodiversity and biomass production in natural forests of China,Jia-Jia Liu; K. Burgess; X. Ge,2022,,6,10.1002/ece3.8838,https://www.semanticscholar.org/paper/9b91b3147ba5bb609afcf0030122b8d23d84d085,sentence_retry,,Jia-Jia Liu; K. Burgess; X. Ge (2022). Species pool size and rainfall account for the relationship between biodiversity and biomass production in natural forests of China. https://doi.org/10.1002/ece3.8838,"Abstract The strength of biodiversity–biomass production relationships increases with increasing environmental stress and time. However, we know little about the effects of abiotic (e.g., climate) and biotic (e.g., species pool and community composition) factors on this trend. Whether variation in biomass production is best explained by phylogenetic diversity metrics or traditional measures of species richness also remains elusive. We compiled estimates of community composition and biomass produ"
REF036,Plant diversity promotes soil nitrogen retention and removal processes in wetlands,Caifang Zhang; Miaomiao Cai; C. N. Ndungu; Lin Ma; Wenzhi Liu,2025,,1,10.1111/nph.70491,https://www.semanticscholar.org/paper/bdc8dabc2a726b08f06ef2450483fccd88480564,sentence_retry,,Caifang Zhang; Miaomiao Cai; C. N. Ndungu; Lin Ma; Wenzhi Liu (2025). Plant diversity promotes soil nitrogen retention and removal processes in wetlands. https://doi.org/10.1111/nph.70491,"Although nitrogen (N) cycling processes are fundamental to the functioning of wetland ecosystems, the effects and underlying mechanisms of plant diversity on soil N cycling remain insufficiently understood. We conducted a field survey (123 soil samples) and a pot experiment (528 soil samples) to examine how multidimensional plant diversity (species diversity, phylogenetic diversity, and functional group diversity) affects key N cycling processes in wetland soils across different phenological sta"
REF037,"Taxonomic, Phylogenetic and Functional Diversity Behave Differently Under Disturbance Pressure and Complex Land‐Use History: Assembly Rules in Grassland Communities",L. Doni; Ian Briozzo; B. Cerabolini; M. Dalle Fratte; M. Guerrina; L. Minuto; M. Mariotti; Gabriele Casazza,2026,,1,10.1002/ece3.73075,https://www.semanticscholar.org/paper/5376cdf71b33054ffb8241721929661931814a9a,sentence_retry,,"L. Doni; Ian Briozzo; B. Cerabolini; M. Dalle Fratte; M. Guerrina; L. Minuto; M. Mariotti; Gabriele Casazza (2026). Taxonomic, Phylogenetic and Functional Diversity Behave Differently Under Disturbance Pressure and Complex Land‐Use History: Assembly Rules in Grassland Communities. https://doi.org/10.1002/ece3.73075","ABSTRACT Grazing and land abandonment trigger ecological succession and can affect plant communities by determining the relative importance of ecological assembly rules. A thorough understanding of these processes requires the implementation of taxonomic, phylogenetic, and functional diversity, along with knowledge of how they relate to each other in response to disturbance. We carried out survey on 120 plots and calculated taxonomic, phylogenetic, and functional diversity, the diversity's dimen"
REF038,Aluminum stress responses and beneficial bacterial traits in Medicago legumes,T. Ledger; Alexander Renlund; Angela Cantillo-González; M. J. Poupin; Bernardo González,2026,,,10.3389/fpls.2026.1801139,https://www.semanticscholar.org/paper/97445de3285274307008a1402dbefd2e93200166,sentence_retry,,T. Ledger; Alexander Renlund; Angela Cantillo-González; M. J. Poupin; Bernardo González (2026). Aluminum stress responses and beneficial bacterial traits in Medicago legumes. https://doi.org/10.3389/fpls.2026.1801139,"Legumes of the genus Medicago are agronomically important forage crops that also enhance soil fertility through biological nitrogen fixation. Beyond their agricultural value, Medicago species show promise for the ecological restoration of degraded soils, particularly through their symbiotic associations with soil microbial communities (rhizobacteria). However, in acidic soils—common in degraded environments—the presence of toxic metals such as aluminum (Al) poses a major constraint to plant esta"
REF039,Intrinsic dimensionality as a metric for temporal plant diversity evaluation: Case study from the SHIFT campaign,K. Cawse-Nicholson; K. D. Chadwick; P. Brodrick; Michael Kiper; David R. Thompson; D. Schimel; C. E. Miller; P. Townsend,2025,,2,10.1002/ecs2.70213,https://www.semanticscholar.org/paper/d9f67e51cddf194870172c0b2eadae6644fd04af,sentence_retry,,K. Cawse-Nicholson; K. D. Chadwick; P. Brodrick; Michael Kiper; David R. Thompson; D. Schimel; C. E. Miller; P. Townsend (2025). Intrinsic dimensionality as a metric for temporal plant diversity evaluation: Case study from the SHIFT campaign. https://doi.org/10.1002/ecs2.70213,"Current biodiversity metrics derived from remote sensing data are typically applied to small local areas, require significant training data, and are not easily extensible globally. Here we propose the mathematical concept of intrinsic dimensionality (ID) as a method to quantify terrestrial vegetation variability without a need for in situ training data. We apply this technique to airborne imaging spectroscopy data from the Surface Biology and Geology High Frequency Time series (SHIFT) airborne c"
REF040,"Modeling Insolation, Multi-Spectral Imagery and LiDAR Point-Cloud Metrics to Predict Plant Diversity in a Temperate Montane Forest",P. C. Dunn; L. Blesius,2021,,1,10.3390/geographies1020006,https://www.semanticscholar.org/paper/eeae7a9ab02511bd2cf41cef40f873f0b1c394f7,sentence_retry,,"P. C. Dunn; L. Blesius (2021). Modeling Insolation, Multi-Spectral Imagery and LiDAR Point-Cloud Metrics to Predict Plant Diversity in a Temperate Montane Forest. https://doi.org/10.3390/geographies1020006","Incident solar radiation (insolation) passing through the forest canopy to the ground surface is either absorbed or scattered. This phenomenon, known as radiation attenuation, is measured using the extinction coefficient (K). The amount of radiation reaching the ground surface of a given site is effectively controlled by the canopy’s surface and structure, determining its suitability for plant species. Menhinick’s and Simpson’s biodiversity indexes were selected as spatially explicit response va"
REF041,"Integrating dark diversity, functional traits, and diagnostic species: a framework to diagnose bottlenecks in forest recovery",Minghui Wang; Jianrong Su; Wan-de Liu; Shuaifeng Li; Xiaobo Huang; Jiayan Shen; Rui-Guang Shang,2026,,1,10.3389/fpls.2026.1723617,https://www.semanticscholar.org/paper/b126f184aaca59d50df32d545846e0eca3a6877b,sentence_retry,,"Minghui Wang; Jianrong Su; Wan-de Liu; Shuaifeng Li; Xiaobo Huang; Jiayan Shen; Rui-Guang Shang (2026). Integrating dark diversity, functional traits, and diagnostic species: a framework to diagnose bottlenecks in forest recovery. https://doi.org/10.3389/fpls.2026.1723617","Introduction Accurately assessing the natural recovery processes of forest ecosystems remains a key challenge in restoration ecology. The concept of dark diversity—the set of species absent from a site but belonging to its habitat-specific species pool—provides a novel lens for this assessment. Methods In this study, we developed and applied an integrated diagnostic framework that synthesizes dark diversity, functional traits, and diagnostic species. We applied this framework to a chronosequence"
REF042,Linking forest coverage and fragmentation to the dark diversity of plant communities under different forest management practices.,Ji‐Zhong Wan; Xiaodan Wang,2025,,,10.1016/j.jenvman.2025.126408,https://www.semanticscholar.org/paper/64e8a3329990e62d8118f24ce1c2d643b423e086,sentence_retry,,Ji‐Zhong Wan; Xiaodan Wang (2025). Linking forest coverage and fragmentation to the dark diversity of plant communities under different forest management practices.. https://doi.org/10.1016/j.jenvman.2025.126408,"Dark diversity refers to species that belong to a particular species pool, although they are locally absent from the given sites. To understand the effects of forest coverage and fragmentation on plant species diversity, we examined whether coverage and fragmentation influence the dark diversity of plant communities in forests under different management practices. We compiled a comprehensive database to quantify the observed diversity, dark diversity, and community completeness of managed forest"
REF043,Unraveling local and regional determinants of high plant diversity at marine rocky outcrops in Uruguay,Patricia Mai; Eduardo Marchesi; Antonella Pollero; M. Zabaleta; L. Cappuccio; Sebastián Fernández; Ninoska Idjiloff; Matías Arim,2024,,3,10.1111/jvs.13284,https://www.semanticscholar.org/paper/e1bd9ee13c8e05bb96516637dd1d75dc12064c08,sentence_retry,,Patricia Mai; Eduardo Marchesi; Antonella Pollero; M. Zabaleta; L. Cappuccio; Sebastián Fernández; Ninoska Idjiloff; Matías Arim (2024). Unraveling local and regional determinants of high plant diversity at marine rocky outcrops in Uruguay. https://doi.org/10.1111/jvs.13284,"Marine rocky outcrops are model systems of community assembly under harsh conditions. The prevailing environmental conditions that determine a coast–inland gradient of stress and disturbance impose a strong environmental filter on community assembly. However, the Atlantic rocky outcrops of Uruguay challenge this assumption as they exhibit high plant diversity at small spatial scales. We investigated this study system to answer: (1) which environmental factors determine diversity at the local sca"
REF044,"Plants, fungi, and carabid beetles in temperate forests: both observed and dark diversity depend on habitat availability in space and time",Kersti Riibak; N. Noreika; A. Helm; M. Öpik; Ene Kook; Liis Kasari‐Toussaint; Madli Jõks; B. Paganeli,2024,,9,10.1007/s10980-024-01960-7,https://www.semanticscholar.org/paper/91775732ff8a4656dbb0526d2b802e11fe6355b7,sentence_retry,,"Kersti Riibak; N. Noreika; A. Helm; M. Öpik; Ene Kook; Liis Kasari‐Toussaint; Madli Jõks; B. Paganeli (2024). Plants, fungi, and carabid beetles in temperate forests: both observed and dark diversity depend on habitat availability in space and time. https://doi.org/10.1007/s10980-024-01960-7","The loss of ancient forests threatens many species. Effective nature conservation needs information on how forest availability in the surrounding landscape in space and time determines the diversity of multiple taxa. We explored the relationship between forest availability at different spatiotemporal scales and the diversity of various groups: vascular plants (woody species, ground layer), epiphytes (bryophytes and lichens), fungi (ectomycorrhizal, arbuscular mycorrhizal, pathogenic, saprotrophi"
REF045,Determining macrophyte species richness and dark diversity sources - A novel approach to improve the biodiversity estimation based on species traits.,K. Szoszkiewicz; Anna Budka; A. Łacka; Karol Pietruczuk,2021,,9,10.1016/j.scitotenv.2021.151496,https://www.semanticscholar.org/paper/05864f4b05d65fecfeac9eecdd84616e980d1539,sentence_retry,,K. Szoszkiewicz; Anna Budka; A. Łacka; Karol Pietruczuk (2021). Determining macrophyte species richness and dark diversity sources - A novel approach to improve the biodiversity estimation based on species traits.. https://doi.org/10.1016/j.scitotenv.2021.151496,"Biodiversity measures deliver valuable ecological information by reflecting a range of ecosystem processes. However, the accuracy of environmental assessment based on species patterns may often be affected by insufficient survey details. The comprehensive evaluation of plant taxa richness in rivers requires an extensive sampling effort. The use of Hill numbers and Chao estimators improves species diversity assessment based on a feasible number of samples. The aim of this work was to identify mac"
REF046,"Comparison between different instruments for measuring health-related quality of life in a population sample, the WHO MONICA Project, Gothenburg, Sweden: an observational, cross-sectional study",E. Krantz; Ulla Wide; Penelope Trimpou; I. Bryman; K. Landin-Wilhelmsen,2019,,31,10.1136/bmjopen-2018-024454,https://www.semanticscholar.org/paper/fd9b15f34c1f912cbcc1ff30bb7fdb44c44d7319,sentence_retry,,"E. Krantz; Ulla Wide; Penelope Trimpou; I. Bryman; K. Landin-Wilhelmsen (2019). Comparison between different instruments for measuring health-related quality of life in a population sample, the WHO MONICA Project, Gothenburg, Sweden: an observational, cross-sectional study. https://doi.org/10.1136/bmjopen-2018-024454","Objective The general aim was to meet the need for empirical comparative studies of health-related quality of life (HRQoL) assessment instruments, by evaluating and comparing the psychometric properties and results of three different, widely used, generic HRQoL instruments in a population sample. The specific aims were to evaluate the subscales of the different instruments that measure the same domain and to assess the association between the HRQoL measures and a single-item self-rated health sc"
REF047,Executive functioning in children with ADHD Investigating the cross-method correlations between performance tests and rating scales,K. Olsen; Denis G. Sukhodolsky; A. Bikic,2024,,3,10.2478/sjcapp-2024-0001,https://www.semanticscholar.org/paper/fe6f3ecb9af09e6c8a9d9d95684743f2cc877c2b,sentence_retry,,K. Olsen; Denis G. Sukhodolsky; A. Bikic (2024). Executive functioning in children with ADHD Investigating the cross-method correlations between performance tests and rating scales. https://doi.org/10.2478/sjcapp-2024-0001,Abstract Objective Replicated evidence shows a weak or non-significant correlation between different methods of evaluating executive functions (EF). The current study investigates the association between rating scales and cognitive tests of EF in a sample of children with ADHD and executive dysfunction. Method The sample included 139 children (aged 6–13) diagnosed with ADHD and executive dysfunctions. The children completed subtests of the Cambridge Neuropsychological Test Automated Battery (CAN
REF048,Disentangling the Ecological Determinants of Species and Functional Trait Diversity in Herb-Layer Plant Communities in European Temperate Forests,Janez Kermavnar; L. Kutnar; A. Marinšek,2021,,13,10.3390/F12050552,https://www.semanticscholar.org/paper/ab7ea3dd1931c332897336d7d92fa896f0f6e05e,sentence_retry,,Janez Kermavnar; L. Kutnar; A. Marinšek (2021). Disentangling the Ecological Determinants of Species and Functional Trait Diversity in Herb-Layer Plant Communities in European Temperate Forests. https://doi.org/10.3390/F12050552,"Forest herb-layer vegetation responds sensitively to environmental conditions. This paper compares drivers of both taxonomic, i.e., species richness, cover and evenness, and functional herb-layer diversity, i.e., the diversity of clonal, bud bank and leaf-height-seed plant traits. We investigated the dependence of herb-layer diversity on ecological determinants related to soil properties, climatic parameters, forest stand characteristics, and topographic and abiotic and biotic factors associated"
REF049,Phylogenetic trait conservatism predicts patterns of plant‐soil feedback,John K. Senior; B. Potts; J. O’Reilly-Wapstra; A. Bissett; Rachel Wooliver; J. Bailey; M. Glen; J. Schweitzer,2018,Ecosphere,12,10.1002/ECS2.2409,https://www.semanticscholar.org/paper/d6e6b99a5bf69009c3fe37cf2f21958187ead1ab,topic_search,plant-soil interactions,John K. Senior; B. Potts; J. O’Reilly-Wapstra; A. Bissett; Rachel Wooliver; J. Bailey; M. Glen; J. Schweitzer (2018). Phylogenetic trait conservatism predicts patterns of plant‐soil feedback. Ecosphere. https://doi.org/10.1002/ECS2.2409,"Plant‐soil feedbacks (PSFs) are important drivers of plant community structure and diversity, with species varying in the way they both condition soils and respond to them. While plant phylogenetic relationships alone can predict this variation in some instances, trait conservatism across phylogenies may provide more reliable predictions. Using integrated common garden and glasshouse inoculation experiments including 13 Eucalyptus species across two subgenera, we specifically investigated soil m"
REF050,"Shortcuts for biomonitoring programs of stream ecosystems: Evaluating the taxonomic, numeric, and cross-taxa congruence in phytoplankton, periphyton, zooplankton, and fish assemblages",R. C. P. Faquim; K. B. Machado; F. B. Teresa; P. H. Oliveira; G. Granjeiro; Ludgero Cardoso Galli Vieira; J. Nabout,2021,,17,10.1371/journal.pone.0258342,https://www.semanticscholar.org/paper/a9dd8e43861a328156aa042c6e660d780c2bb57a,sentence_retry,,"R. C. P. Faquim; K. B. Machado; F. B. Teresa; P. H. Oliveira; G. Granjeiro; Ludgero Cardoso Galli Vieira; J. Nabout (2021). Shortcuts for biomonitoring programs of stream ecosystems: Evaluating the taxonomic, numeric, and cross-taxa congruence in phytoplankton, periphyton, zooplankton, and fish assemblages. https://doi.org/10.1371/journal.pone.0258342","Different biological groups can be used for monitoring aquatic ecosystems because they can respond to variations in the environment. However, the evaluation of different bioindicators may demand multiple financial resources and time, especially when abundance quantification and species-level identification are required. In this study, we evaluated whether taxonomic, numerical resolution and cross-taxa can be used to optimize costs and time for stream biomonitoring in Central Brazil (Cerrado biom"
REF051,Combining Nordtest method and bootstrap resampling for measurement uncertainty estimation of hematology analytes in a medical laboratory.,M. Cui; Lili Xu; Huimin Wang; S. Ju; Shuizhu Xu; Rongrong Jing,2017,Clinical Biochemistry,13,10.1016/j.clinbiochem.2017.09.008,https://www.semanticscholar.org/paper/56aa64bf5a629f481f0a6cde46624562efff5a8e,sentence_work,,M. Cui; Lili Xu; Huimin Wang; S. Ju; Shuizhu Xu; Rongrong Jing (2017). Combining Nordtest method and bootstrap resampling for measurement uncertainty estimation of hematology analytes in a medical laboratory.. Clinical Biochemistry. https://doi.org/10.1016/j.clinbiochem.2017.09.008,
REF052,Hidden molecular relationships are revealed by bootstrap resampling of mass spectral pairs with SpecReBoot,Esteban Charria-Girón; Laura Rosina Torres-Ortega; Joelle Mergola Greef; Yasmina Marin Felix; N. Caicedo; F. Surup; Marnix M Medema; J. V. D. van der Hooft,2026,bioRxiv,1,10.64898/2026.02.03.703446,https://www.semanticscholar.org/paper/f0ff499b7eb71dad4edf386c01f8bbf9e40d1a7d,sentence_work,,Esteban Charria-Girón; Laura Rosina Torres-Ortega; Joelle Mergola Greef; Yasmina Marin Felix; N. Caicedo; F. Surup; Marnix M Medema; J. V. D. van der Hooft (2026). Hidden molecular relationships are revealed by bootstrap resampling of mass spectral pairs with SpecReBoot. bioRxiv. https://doi.org/10.64898/2026.02.03.703446,
REF053,A novel procedure for measuring functional traits of herbaceous species through field spectroscopy,Elisa Van Cleemput; D. Roberts; O. Honnay; B. Somers,2019,,13,10.1111/2041-210X.13237,https://www.semanticscholar.org/paper/76c9af31dfd89c3f3b10ae172c38c07b2f1612b3,sentence_retry,,Elisa Van Cleemput; D. Roberts; O. Honnay; B. Somers (2019). A novel procedure for measuring functional traits of herbaceous species through field spectroscopy. https://doi.org/10.1111/2041-210X.13237,"Collecting species‐level information on plant functional traits is highly relevant for understanding ecosystem functioning under global change. Measuring optical properties of plant species is a promising approach to retrieve such data, but standardized protocols are essential. Due to fine‐scale heterogeneity of many vegetation types, measuring the spectral response, as a proxy for functional traits, of individual plant species remains challenging using conventional approaches. Here we present a"
REF054,"Tracing Human Diversity in South America's Southern Cone: Linguistic, Morphometric, and Genetic Perspectives",L. Menéndez; Matthias Urban,2025,,3,10.1002/ajpa.70077,https://www.semanticscholar.org/paper/c2efef47f9df11c0bc392efb32975060fb9016e1,sentence_retry,,"L. Menéndez; Matthias Urban (2025). Tracing Human Diversity in South America's Southern Cone: Linguistic, Morphometric, and Genetic Perspectives. https://doi.org/10.1002/ajpa.70077","ABSTRACT Objectives Studying the relationship between biological and cultural diversity can lead to rich insights into human history. South America has been relatively neglected in this kind of work, even though it intriguingly exhibits unexpectedly high biological and cultural diversity. Here, we focus on a particularly understudied part of the continent, the Southern Cone, and examine linguistic, craniometric, and genetic variation across five groups: Selk'nam, Qawaskar, Mapuche, Kunza, and Qo"
REF055,Advantages of phylogenetic distance based constrained ordination analyses for the examination of microbial communities,Vijay Shankar; Richard T. Agans; O. Paliy,2017,Scientific Reports,46,10.1038/s41598-017-06693-z,https://www.semanticscholar.org/paper/43301bcb4b97045773583ec5e66e66801113ecfd,topic_search,dbRDA methods,Vijay Shankar; Richard T. Agans; O. Paliy (2017). Advantages of phylogenetic distance based constrained ordination analyses for the examination of microbial communities. Scientific Reports. https://doi.org/10.1038/s41598-017-06693-z,"Recently developed high throughput molecular techniques such as massively parallel sequencing and phylogenetic microarrays generate vast datasets providing insights into microbial community structure and function. Because of the high dimensionality of these datasets, multivariate ordination analyses are often employed to examine such data. Here, we show how the use of phylogenetic distance based redundancy analysis provides ecological interpretation of microbial community differences. We also ex"
REF056,Rhizosheath microbial community assembly of sympatric desert speargrasses is independent of the plant host,R. Marasco; Maria J Mosqueira; M. Fusi; J. Ramond; G. Merlino; J. Booth; G. Maggs-Kölling; D. Cowan,2018,Microbiome,141,10.1186/s40168-018-0597-y,https://www.semanticscholar.org/paper/67d5f3edf4e8bd3d237da107aeca07da72b3d10e,topic_search,environmental filtering,R. Marasco; Maria J Mosqueira; M. Fusi; J. Ramond; G. Merlino; J. Booth; G. Maggs-Kölling; D. Cowan (2018). Rhizosheath microbial community assembly of sympatric desert speargrasses is independent of the plant host. Microbiome. https://doi.org/10.1186/s40168-018-0597-y,"The rhizosheath-root system is an adaptive trait of sandy-desert speargrasses in response to unfavourable moisture and nutritional conditions. Under the deserts’ polyextreme conditions, plants interact with edaphic microorganisms that positively affect their fitness and resistance. However, the trophic simplicity and environmental harshness of desert ecosystems have previously been shown to strongly influence soil microbial community assembly. We hypothesize that sand-driven ecological filtering"
REF057,Soil pH and nitrate shape deterministic assembly of microbial communities in agricultural soils via Nitrososphaeria,Huizhen Yan; Yunhua Zhang; Zhiguo Zhang; Ze Zhao; Lu Zhang; Feng Ju,2025,,,10.1128/aem.02067-25,https://www.semanticscholar.org/paper/ffea877242eba9f3f25041faec0f991c39b3941a,sentence_retry,,Huizhen Yan; Yunhua Zhang; Zhiguo Zhang; Ze Zhao; Lu Zhang; Feng Ju (2025). Soil pH and nitrate shape deterministic assembly of microbial communities in agricultural soils via Nitrososphaeria. https://doi.org/10.1128/aem.02067-25,"ABSTRACT Understanding the assembly mechanisms of soil microbial communities is critical for maintaining nitrogen cycling in agricultural ecosystems, which underpins soil fertility and sustains crop productivity. While environmental filtering and biotic interactions shape these communities, our understanding of how functional taxa interact with soil properties across extensive agricultural landscapes remains limited. Here, we investigated the influence of environmental factors on the Chinese agr"
REF058,Biogeographic patterns of abundant and rare bacterioplankton in three subtropical bays resulting from selective and neutral processes,Yuanyuan Mo; Wenjing Zhang; Jun Yang; Yuanshao Lin; Zheng Yu; Senjie Lin,2018,The ISME Journal,333,10.1038/s41396-018-0153-6,https://www.semanticscholar.org/paper/17917be7ac0df8dbc641f4ea760482e018ebdfec,topic_search,dbRDA,Yuanyuan Mo; Wenjing Zhang; Jun Yang; Yuanshao Lin; Zheng Yu; Senjie Lin (2018). Biogeographic patterns of abundant and rare bacterioplankton in three subtropical bays resulting from selective and neutral processes. The ISME Journal. https://doi.org/10.1038/s41396-018-0153-6,"Unraveling the relative importance of ecological processes regulating microbial community structure is a central goal in microbial ecology. Here, we used high-throughput sequencing to examine the relative contribution of selective and neutral processes in the assembly of abundant and rare subcommunities from three subtropical bays of China. We found that abundant and rare bacterial taxa were distinctly different in diversity, despite the similar biogeographic patterns and strong distance-decay r"
REF059,Integrating dark diversity and the species pool to understand biodiversity–ecosystem functioning relationships in temperate forests,Wushuang Li; John A. Kershaw; Minhui Hao; Chunyu Fan; Juan Wang; Xiuhai Zhao; Chunyu Zhang,2026,,,10.1111/1365-2745.70313,https://www.semanticscholar.org/paper/5fbbe442a0465ef3d5668e5db1f247f28f02f3c9,sentence_retry,,Wushuang Li; John A. Kershaw; Minhui Hao; Chunyu Fan; Juan Wang; Xiuhai Zhao; Chunyu Zhang (2026). Integrating dark diversity and the species pool to understand biodiversity–ecosystem functioning relationships in temperate forests. https://doi.org/10.1111/1365-2745.70313,"Biodiversity–ecosystem functioning (BEF) research has predominantly focused on local observed diversity, implicitly assuming that locally present species sufficiently capture biodiversity effects. However, species absent from local communities but present in the regional species pool, termed dark diversity, may represent unrealized functional potential that remains underexplored. We quantified observed diversity, dark diversity, species pool and community completeness using data from 414 0.1‐ha "
REF060,Plant domestication does not reduce diversity in rhizosphere bacterial communities,Alejandra Hernández-Terán; Ana E. Escalante; M. Rebolleda-Gómez,2025,,5,10.1111/nph.70588,https://www.semanticscholar.org/paper/6231315be8e8b038db625574b1f367b5818c1209,sentence_retry,,Alejandra Hernández-Terán; Ana E. Escalante; M. Rebolleda-Gómez (2025). Plant domestication does not reduce diversity in rhizosphere bacterial communities. https://doi.org/10.1111/nph.70588,"Domestication has profoundly shaped the genetic makeup of numerous plant and animal species. While its genetic and phenotypic effects are well documented, the impact on the plant microbiome remains less understood. Two primary hypotheses have been proposed: a reduction in microbial diversity resulting from the domestication process and the diminished ability of host plants to control their microbiomes. We tested these hypotheses by comparing wild and domesticated plants across maize, wheat, barl"
REF061,A Plant‐Diversity Dark Spot at the Intersection of Three Biodiversity Hotspots: Environmental Drivers of Brassicaceae Richness in Türkiye,İlayda Dumlupınar; Barış Özüdoğru; Hakan Gür,2026,,,10.1002/ece3.73246,https://www.semanticscholar.org/paper/0dd1ba53e3a43087f6f242a838bffcc0397c4d84,sentence_retry,,İlayda Dumlupınar; Barış Özüdoğru; Hakan Gür (2026). A Plant‐Diversity Dark Spot at the Intersection of Three Biodiversity Hotspots: Environmental Drivers of Brassicaceae Richness in Türkiye. https://doi.org/10.1002/ece3.73246,"ABSTRACT We provide the first nationwide, spatially explicit analytical framework for assessing how environmental and spatial processes structure species and endemic richness in Brassicaceae across Türkiye, a global plant‐diversity “dark spot.” We compiled an updated national checklist and > 15,000 unique, georeferenced herbarium records for Brassicaceae and aggregated them to 0.5° × 0.5° grid cells. We quantified species and endemic richness per cell and related them to contemporary climate, ar"
REF062,A population genomics approach shows widespread geographical distribution of cryptic genomic forms of the symbiotic fungus Rhizophagus irregularis,R. Savary; F. Masclaux; T. Wyss; G. Droh; Joaquim Cruz Corella; A. Machado; J. Morton; I. Sanders,2017,The ISME Journal,108,10.1038/ismej.2017.153,https://www.semanticscholar.org/paper/a2a1362cde78666f33344bc6e3a1afa48269c71c,topic_search,AMF biogeography,R. Savary; F. Masclaux; T. Wyss; G. Droh; Joaquim Cruz Corella; A. Machado; J. Morton; I. Sanders (2017). A population genomics approach shows widespread geographical distribution of cryptic genomic forms of the symbiotic fungus Rhizophagus irregularis. The ISME Journal. https://doi.org/10.1038/ismej.2017.153,"Arbuscular mycorrhizal fungi (AMF; phylum Gomeromycota) associate with plants forming one of the most successful microbe–plant associations. The fungi promote plant diversity and have a potentially important role in global agriculture. Plant growth depends on both inter- and intra-specific variation in AMF. It was recently reported that an unusually large number of AMF taxa have an intercontinental distribution, suggesting long-distance gene flow for many AMF species, facilitated by either long-"
